univ,titre,annee,nom,prenom,domaine,lang,type,nbPages,url,l2,Diff_12
Laval,Caractérisation du potentiel de champ locale dans le cortex préfrontal médian du rat durant le stress et la prise alimentaire,2016,Korkian,Yavar,Neuroscience,en,maîtrise,86,https://corpus.ulaval.ca/jspui/handle/20.500.11794/27235?mode=full,fr,Diff
UdeS,Caractérisation du transport fluidique et thermique dans les mousses métalliques capillaires en cuivre,2013,Salim Shirazy,Mahmood Reza,Psychologie,en,doctorat,161,https://savoirs.usherbrooke.ca/handle/11143/6141,fr,Diff
UdeS,Caractérisation et optimisation d'un réacteur pour l'ingénierie tissulaire 3D,2011,Dubois,Justin,Génie chimique ou physique,en,maîtrise,114,https://savoirs.usherbrooke.ca/handle/11143/1641,fr,Diff
UQAC,"Caractérisation et rôle des failles (E-W) sécantes dans le contrôle de la minéralisation aurifère à la mine Poderosa, Pataz, Pérou = Caracterización y rol de las fallas (E-W) secantes en la mineralización aurifera filoniana del Batolito de Pataz, Peru ",2006,Oré Sánchez,Carlos,Sciences de la Terre et de l'atmosphère,es,maîtrise,196,https://constellation.uqac.ca/494/,fr,Diff
UQAC,"Caractérisation et utilisation de l'habitat par la paruline à gorge grise (Oporornis agilis) dans les pinèdes grises du Lac-Saint-Jean, Québec",2014,Blais,Virginie,Environnement,en,maîtrise,40,https://constellation.uqac.ca/2781/,fr,Diff
Laval,Caractérisation fonctionnelle de deux facteurs de transcription MYB R2R3 : rôle dans la formation du bois chez les angiospermes / Sylvain Legay,2009,Legay,Sylvain,Géographie / océanographie,en,doctorat,245,https://corpus.ulaval.ca/jspui/handle/20.500.11794/20952?mode=full,fr,Diff
UQAT,"Caractérisation minéralogique, évolution microstructurale et comportement environnemental de remblais miniers cimentés en pâte = Mineralogical Characterization, Microstructural Evolution and Environmental Behaviour of Mine Cemented Paste Backfills.",2006,Ouellet,Serge,Génie,fr,doctorat,311,https://depositum.uqat.ca/id/eprint/53/,fr,Diff
UdeM,"Caractérisation morphologique, biochimique et physiologique des protéines de jonction lacunaire, les connexines 46 et 50, dans les cellules folliculo-stellaires TtT/GF de l’hypophyse antérieure",2014,Garcia,Christopher,Médecine,en,maîtrise,171,http://hdl.handle.net/1866/19225,fr,Diff
Laval,Caractéristiques de la forêt boréale de l'Est du Québec en relation avec la faune aviaire,2010,Lowe Fuentes,Jeovanna,Sciences forestières,en,maîtrise,95,https://corpus.ulaval.ca/jspui/handle/20.500.11794/21298?mode=full,fr,Diff
UQAC,"Caractéristiques structurales de la zone de cisaillement de Wulong et de la minéralisation relative d'or dans le camp d'or de Wulong, Province du Sud-Est de Liaoning, Chine = [Structural characteristics of the Wulong shear zone and related gold mineralization in the Wulong Gold Camp, southeastern Liaoning Province, China] ",2001,Guo,Dijiang,Géologie et génie minier,en,doctorat,206,https://constellation.uqac.ca/878/,fr,Diff
UQAM,"Carbon accumulation in three ombrotrophic peatlands of the Eastmain region, Quebec, Canada : influence of hydrology, vegetation and fire in the Holocene climatic context",2011,?,?,Environnement,en,doctorat,160,http://www.archipel.uqam.ca/4015/,en,
UQAM,"Carbon dynamics and management in Canadian boreal forests : triplex-flux model development, validation, and applications",2011,?,?,Environnement,fr,doctorat,242,http://www.archipel.uqam.ca/3970/,en,Diff
UdeM,Carbon metabolism in transgenic roots with altered levels of hexokinase and triosephosphate isomerase and growing under different nitrogen status,2013,Sedaghatkish,Afsaneh,Biologie,en,maîtrise,92,http://hdl.handle.net/1866/9098,en,
INRS,Carbon Nanomaterials for Dye-Sensitized Solar Cells.,2019,Mohammadnezhad,Mahyar,Génie,en,doctorat,195,http://espace.inrs.ca/id/eprint/10419/,en,
UQTR,Carbon nanostructures : production and characterization,2010,Beig Agha,Rosa,Génie chimique ou physique,en,maîtrise,51,http://depot-e.uqtr.ca/id/eprint/1237/,en,
Poly,Carbon Nanotube Array Electrodes for Organic Thin Film Transistors,2012,Mahvash Mohammadi,Farzaneh,Génie chimique ou physique,en,maîtrise,117,https://publications.polymtl.ca/791/,en,
ÉTS,Carbon-based thermoplastic elastomer nanocomposites for electromagnetic interference shielding applications,2018,Kuester,Scheyla,Génie,en,doctorat,204,https://espace.etsmtl.ca/id/eprint/2045/,en,
UdeM,Carbon-carbon bond formation : from transition metal catalysis to base-promoted homolytic aromatic substitution,2014,Sustac Roman,Daniela,Chimie,en,doctorat,369,http://hdl.handle.net/1866/11408,en,
ÉTS,Carbon-profit-aware job scheduling and load balancing in geographically distributed cloud for HPC and web applications,2014,Farrahi Moghaddam,Fereydoun,Génie,en,doctorat,207,https://espace.etsmtl.ca/id/eprint/1274/,en,
UdeM,Cardiac cell fate control by the imidazoline I1 receptor/nischarin : application in cardiac pathology,2014,Aceros Muñoz,Henry Adolfo,Pharmacie / Pharmacologie,en,doctorat,268,http://hdl.handle.net/1866/11807,en,
Concordia,"Carol Shields : l'ordinaire et l'extraordinaire, et Antoine Bernan : les forces déformantes dans le domaine de la prose littéraire",2003,Lefebvre,Ann,Lettres et littérature,en,maîtrise,160,https://spectrum.library.concordia.ca/1954/,fr,Diff
Concordia,Cartographie esth?ique de la globalisation sous-d?elopp? ?travers l'art contemporain mexicain (1990-2012),2012,Carton de Grammont,Nuria,Histoire de l'art,en,doctorat,336,https://spectrum.library.concordia.ca/974865/,fr,Diff
Poly,Catalytic Design for Fructose Conversion to Speciality Chemicals,2018,Carnevali,Davide,Génie chimique ou physique,en,doctorat,149,https://publications.polymtl.ca/3265/,en,
Poly,Catalytic Upgrading of Softwood Kraft Lignin to Value Added Chemicals,2015,Lotfi,Samira,Génie chimique ou physique,en,doctorat,153,https://publications.polymtl.ca/1964/,en,
UdeM,Causes and consequences of chromosome segregation errors in the mouse preimplantation embryo,2018,Vázquez de Castro Diez,Cayetana,Sciences biomédicales,en,doctorat,177,http://hdl.handle.net/1866/21198,en,
Laval,CD103-mediated regulation of airway hypersensitivity responses to bioaerosol-associated antigens,2018,Bernatchez,Emilie,Microbiologie / immunologie,en,doctorat,202,https://corpus.ulaval.ca/jspui/handle/20.500.11794/30253?mode=full,en,
UdeM,CD40 signalling in platelet function,2012,Hachem,Ahmed,Microbiologie / immunologie,en,doctorat,244,http://hdl.handle.net/1866/9046,en,
UdeM,Cdx-mediated co-integration of Wnt and BMP signals on a single Pax3 neural crest enhancer,2016,Laberge Perrault,Emilie,Microbiologie / immunologie,fr,maîtrise,96,http://hdl.handle.net/1866/19415,en,Diff
UdeM,Cell lines and animal model in the analysis of pharmacogenomics markers in childhood acute lymphoblastic leukemia,2014,Sharifaskari,Bahram,Pharmacie / Pharmacologie,en,doctorat,205,http://hdl.handle.net/1866/12748,en,
Laval,Cell replacement therapy for Huntington's disease : what we have learned from post-mortem analyses of grafted patients and mice models,2014,Cisbani,Giulia,Neuroscience,en,doctorat,170,https://corpus.ulaval.ca/jspui/handle/20.500.11794/25302?mode=full,en,
Laval,"Cell types, connectivity and behavior-dependent recruitment of vasoactive intestinal peptide-expressing interneurons in the mouse hippocampus",2019,Francavilla,Ruggiero,Biochimie,en,doctorat,271,https://corpus.ulaval.ca/jspui/handle/20.500.11794/36597?mode=full,en,
UdeM,Cell wall composition regulates cell shape and growth behaviour in pollen tubes,2012,Chebli,Youssef,Biologie,en,doctorat,370,http://hdl.handle.net/1866/8988,en,
Laval,Cell- and input-specific expression of the α5-GABAAR in the CA1 area of the mouse hippocampus,2018,Amalyan,Sona,Biochimie,en,maîtrise,116,https://corpus.ulaval.ca/jspui/handle/20.500.11794/32486?mode=full,en,
Laval,Cell-free DNA-based noninvasive prenatal screening for Down syndrome in the Quebec healthcare system : health economic aspects,2017,Nshimyumukiza,Léon,Épidémiologie,en,doctorat,148,https://corpus.ulaval.ca/jspui/handle/20.500.11794/27889?mode=full,en,
ÉTS,Cellular automaton development for the study of the neighborhood effect within polycrystals stress-fields,2020,Bretin,Rémy,Génie,en,doctorat,243,https://espace.etsmtl.ca/id/eprint/2473/,en,
Poly,Cellulose Nanofiber-Reinforced Polymer Biocomposites,2017,Safdari Shadlou,Fatemeh,Génie chimique ou physique,en,doctorat,138,https://publications.polymtl.ca/2505/,en,
ÉTS,Cement-bitumen treated materials (CBTM) for cold regions: RAP aggregate source and low production temperatures,2020,Raschia,Simone,Génie,en,doctorat,387,https://espace.etsmtl.ca/id/eprint/2592/,en,
UQAM,Central and peripheral steady-state visual evoked potentials in children with optic pathway gliomas,2019,Zakaib Rassi,Sarah,Psychologie,en,doctorat,100,https://archipel.uqam.ca/13763/,en,
ÉTS,Centrifugal casting of ZA8 zinc alloy and composite A356/SiC : study and modeling of phases' and particles' segragation,2010,Balout,Bahaa,Génie,en,doctorat,155,https://espace.etsmtl.ca/id/eprint/255/,en,
UdeM,"CEP78, a novel centrosomal protein",2014,Javadi Esfehani,Yalda,Médecine,en,maîtrise,103,http://hdl.handle.net/1866/11029,en,
ÉTS,Ceramic interposers for high density packaging in 3D LTCC technology,2020,Adibi,Arash,Génie électrique,en,maîtrise,81,https://espace.etsmtl.ca/id/eprint/2516/,en,
UdeM,Cerebral edema and acute liver failure : pathophysiological mechanisms and new therapeutic approaches,2010,Jiang,Wenlei,Sciences biomédicales,en,doctorat,238,http://hdl.handle.net/1866/3765,en,
UdeS,Cerebral stiffness changes due to vasoreactivity during visual activation measured with intrinsic Magnetic Resonance Elastography,2020,Forouhandehpour,Reihaneh,Médecine,en,maîtrise,76,https://savoirs.usherbrooke.ca/handle/11143/17159,en,
UdeM,Certain problems concerning polynomials and transcendental entire functions of exponential type,2014,Hachani,Mohamed Amine,Mathématiques,en,doctorat,69,http://hdl.handle.net/1866/11087,en,
UdeS,CFD simulation and exergy flow analysis inside devices for expansion of supercritical CO2 streams to improve the energy performance of a heat pump system,2020,Aghagoli,Abbas,Chimie,en,doctorat,150,https://savoirs.usherbrooke.ca/handle/11143/17830,en,
ÉTS,CFD simulations to improve air distribution inside cold climate broiler houses involving heat exchangers,2018,Coulombe,Frédéric,Génie,en,maîtrise,124,https://espace.etsmtl.ca/id/eprint/2180/,en,
Poly,Change-Based Approaches for Static Taint Analyses,2018,Cloutier,Nicolas,Génie informatique,en,maîtrise,72,https://publications.polymtl.ca/3706/,en,
UdeM,Changes in cortical and sub-cortical patterns of activity associated with aging during the performance of a lexical set-shifting task,2014,Martins,Ruben,Sciences biomédicales,en,doctorat,264,http://hdl.handle.net/1866/12081,en,
UdeM,Changes in Frame of Reference After Exposure to Emotional Stimuli,2018,Best,Eva,Psychologie,en,maîtrise,50,http://hdl.handle.net/1866/21307,en,
UdeM,Changing chronic disease primary care patients' participation through web training : does it make a difference?,2017,Glaser,Emma,Sciences biomédicales,en,maîtrise,163,http://hdl.handle.net/1866/20498,en,
INRS,Channel Parameter Estimation for Current- and Future-Generation Wireless Communication Systems: Advanced Algorithms and Bounds.,2014,Bellili,Faouzi,Génie électrique,en,doctorat,169,http://espace.inrs.ca/id/eprint/2365/,en,
Poly,Chaos Theory Applied to Analyze Tool Wear During Machining of Titanium Metal Matrix Composite (TiMMCs),2015,Duong,Xuan Truong,Génie mécanique,en,doctorat,122,https://publications.polymtl.ca/1758/,en,
Laval,Characterisation of different biofuel blends for cold start and altitude relight in aeroengines,2018,Jean,Joël,Génie mécanique,en,maîtrise,142,https://corpus.ulaval.ca/jspui/handle/20.500.11794/35414?mode=full,en,
INRS,Characterisation of epithelial cells infection by morbilliviruses.,2012,Wong,Xiao Xiang,Virologie et immunologie,en,maîtrise,94,http://espace.inrs.ca/id/eprint/2040/,en,
Poly,Characterisation of Intercity Bus Travel Demand in Quebec,2017,Zhang,Tingting,Génie civil,en,maîtrise,181,https://publications.polymtl.ca/2599/,en,
UQAM,"Characterisation of multi-model ensembles of climate-change projections regarding sampling, treatment and interpretation",2013,?,?,Géographie / océanographie,en,doctorat,216,http://www.archipel.uqam.ca/6187/,en,
Laval,"Characterisation of poly (2,7-carbazole) photovoltaic cells",2011,Blair,Emily,Chimie,en,maîtrise,78,https://corpus.ulaval.ca/jspui/handle/20.500.11794/23045?mode=full,en,
ÉTS,Characterization and Modelling of Packed-stuffing Boxes,2017,Kazeminia,Mehdi,Génie,en,doctorat,210,https://espace.etsmtl.ca/id/eprint/1869/,en,
Poly,Characterization and Modelling of Scattered Wireless Channel at 60 GHZ in an Underground Mine Gallery,2016,Tariq,Shah Ahsanuzzaman Md,Génie électrique,en,doctorat,177,https://publications.polymtl.ca/2289/,en,
Laval,Characterization and quantification of faecal sludge from pit latrines,2019,Bourgault,Catherine,Génie civil,en,doctorat,149,https://corpus.ulaval.ca/jspui/handle/20.500.11794/35442?mode=full,en,
Laval,Characterization and surface modification of rubber from recycled tires,2015,Liang,Huan,Chimie,en,doctorat,144,https://corpus.ulaval.ca/jspui/handle/20.500.11794/26286?mode=full,en,
UdeM,Characterization of a novel class of anti-HCV agents targeting protein-protein interactions,2016,Park,Alex,Microbiologie / immunologie,en,maîtrise,123,http://hdl.handle.net/1866/18893,en,
UdeM,Characterization of Actinobacillus pleuropneumoniae antiviral effect against porcine reproductive and respiratory syndrome virus in porcine alveolar macrophages,2014,Hernandez Reyes,Yenney,Sciences vétérinaires,en,maîtrise,147,http://hdl.handle.net/1866/12394,en,
UdeM,Characterization of antimicrobial resistance in Aeromonas and Vibrio isolated in Canada from fish and seafood,2011,Uhland,F.Carl,Sciences vétérinaires,en,maîtrise,143,http://hdl.handle.net/1866/8349,en,
Laval,Characterization of biomedical used plasmas by IR and UV-VIS emission spectroscopy,2014,Mavadat,Maryam,Géologie et génie minier,en,doctorat,162,https://corpus.ulaval.ca/jspui/handle/20.500.11794/25123?mode=full,en,
Laval,Characterization of cancer/testis antigen MAGE-A11 for immunotherapy of prostate cancer,2014,Dadvar,Ehsan,Médecine,en,maîtrise,84,https://corpus.ulaval.ca/jspui/handle/20.500.11794/26789?mode=full,en,
INRS,Characterization of canine distemper virus neuroinvasion using a ferret model of infection,2010,Rudd,Penny Ann,Virologie et immunologie,en,doctorat,217,http://espace.inrs.ca/id/eprint/283/,en,
UdeM,Characterization of carotid artery plaques using noninvasive vascular ultrasound elastography,2019,Li,Hongliang,Génie biomédical,en,doctorat,180,http://hdl.handle.net/1866/23538,en,
UdeM,Characterization of Carotid Plaques with Ultrasound Non-Invasive Vascular Elastography (NIVE) : Feasibility and Correlation with High-Resolution Magnetic Resonance Imaging,2013,Naïm,Cyrille,Sciences biomédicales,en,maîtrise,234,http://hdl.handle.net/1866/9674,en,
ÉTS,Characterization of coronary artery tissues with Kawasaki disease from OCT images,2018,Abdolmanafi,Atefeh,Génie,en,doctorat,142,https://espace.etsmtl.ca/id/eprint/2062/,en,
Poly,Characterization of CSO Microbial Contamination and their Risks to Drinking Water Sources,2019,Taghipour,Milad,Génie civil,en,doctorat,230,https://publications.polymtl.ca/3860/,en,
ÉTS,"Characterization of edge-contact influence on tridimensional elastohydrodynamic film shape, pressure, stress and temperature distributions",2014,Najjari,Morteza,Génie,en,doctorat,125,https://espace.etsmtl.ca/id/eprint/1376/,en,
INRS,Characterization of extreme precipitation at multiple spatio-temporal scales in historical and future climate.,2019,Innocenti,Silvia,Sciences de l'eau,en,doctorat,271,http://espace.inrs.ca/id/eprint/10404/,en,
Laval,Characterization of fiber-reinforced lightweight concrete made of stalite aggregates,2018,Metwally,Omar,Génie civil,en,maîtrise,138,https://corpus.ulaval.ca/jspui/handle/20.500.11794/30665?mode=full,en,
Poly,Characterization of Flow-Induced Structures in Carbon Nanotube Suspensions,2011,Khalkhal,Fatemeh,Génie chimique ou physique,en,doctorat,197,https://publications.polymtl.ca/677/,en,
UdeM,Characterization of glutaraldehyde-immobilized chymotrypsin and an in-situ immobilized enzyme reactor using capillary electrophoresis-based peptide mapping,2015,Ghafourifar,Golfam,Chimie,en,doctorat,178,http://hdl.handle.net/1866/13567,en,
Poly,Characterization of High Power Impulse Magnetron Sputtering Discharges,2011,Hala,Matej,Génie chimique ou physique,en,doctorat,234,https://publications.polymtl.ca/742/,en,
Poly,Characterization of Hydrodynamics and Solids Mixing in Fluidized Beds Involving Biomass,2013,Fotovat,Farzam,Génie chimique ou physique,en,doctorat,194,https://publications.polymtl.ca/1295/,en,
ÉTS,Characterization of hydrological processes of a glaciarized watershed catchment in Canadian St. Elias Mountains using natural tracers,2016,Bouchard,Émilie,Environnement,en,maîtrise,136,https://espace.etsmtl.ca/id/eprint/1801/,en,
UdeM,Characterization of in vivo vertebral growth modulation by shape memory alloy staples on a porcine model for the correction of the scoliosis,2012,Wakula,Yaroslav,Sciences biomédicales,en,maîtrise,81,http://hdl.handle.net/1866/8926,en,
Poly,Characterization of Interconnection Delays in FPGAS Due to Single Event Upsets and Mitigation,2018,Darvishi,Mostafa,Génie électrique,en,doctorat,171,https://publications.polymtl.ca/3094/,en,
UdeM,Characterization of microalgae native to Quebec for biofuel production,2014,Leite,Gustavo Balduino,Microbiologie / immunologie,en,doctorat,350,http://hdl.handle.net/1866/12735,en,
ÉTS,Characterization of microstructure and mechanical behaviour of heat affected zones in robotic arc welding of AA6061-T6,2019,Arhumah,Zeli,Génie,en,maîtrise,133,https://espace.etsmtl.ca/id/eprint/2303/,en,
ÉTS,Characterization of microstructure and texture of 13Cr4Ni martensitic stainless steel weld before and after tempering,2016,Mokhtabad Amrei,Mohsen,Génie,en,doctorat,156,https://espace.etsmtl.ca/id/eprint/1700/,en,
UdeM,"Characterization of mineral dust emitted from an actively retreating glacier in Yukon, Canada",2019,Bachelder,Jill,Chimie,en,maîtrise,181,http://hdl.handle.net/1866/22446,en,
Laval,Characterization of novel epigenetic targets in ovarian cancer,2014,Wang,Zhi Qiang,Médecine,en,doctorat,377,https://corpus.ulaval.ca/jspui/handle/20.500.11794/25609?mode=full,en,
Laval,Characterization of on-line sensors for water quality monitoring and process control = : Caractérisation des capteurs en ligne dans le domaine de la qualité de l'eau et du contrôle de prodécé,2010,Beaupré,Mathieu,Génie civil,en,maîtrise,187,https://corpus.ulaval.ca/jspui/handle/20.500.11794/22104?mode=full,fr,Diff
UdeM,"Characterization of p120-catenin, a novel RSK substrate in the Ras/MAPK signalling pathway",2017,Gao,Beichen,Microbiologie / immunologie,en,maîtrise,103,http://hdl.handle.net/1866/18641,en,
INRS,Characterization of Phenotypic Changes Involved in the Uptake of Weakly Soluble Hydrocarbons by Pseudomonas Aeruginosa,2017,Nguyen,Thanh-Thuy,Biologie,en,doctorat,337,http://espace.inrs.ca/id/eprint/7496/,en,
Laval,Characterization of PLA-Talc films using NIR chemical imaging and multivariate image analysis techniques,2018,Amirabadi,Seyedshahabaldin,Génie chimique ou physique,en,maîtrise,79,https://corpus.ulaval.ca/jspui/handle/20.500.11794/29853?mode=full,en,
UdeM,Characterization of polycystin-1 in ADPKD pathogenetic mechanism : biogenesis and functional implications by genetic approaches in mouse,2014,Kurbegovic,Almira,Microbiologie / immunologie,en,doctorat,506,http://hdl.handle.net/1866/12095,en,
UdeM,Characterization of the mammalian homologs of the Drosophila Melanogaster Endocytic protein lethal (2) giant discs 1,2010,Hébert-Losier,Andréa,Microbiologie / immunologie,en,maîtrise,102,http://hdl.handle.net/1866/4148,en,
UdeM,Characterization of the membrane transporter OATP1A2 activity towards different classes of drugs,2016,Lu,Jennifer,Pharmacie / Pharmacologie,en,doctorat,216,http://hdl.handle.net/1866/19272,en,
UdeM,Characterization of the radiation field in ATLAS using Timepix detectors,2019,Billoud,Thomas,Physique,en,doctorat,143,http://hdl.handle.net/1866/23474,en,
UdeM,Characterization of the Sterile20 kinase Slik : A regulator of growth in Drosophila,2014,Nath,Apurba,Microbiologie / immunologie,en,maîtrise,83,http://hdl.handle.net/1866/11049,en,
UdeM,Characterization of the unfolding of a weak focus and modulus of analytic classification,2010,Arriagada Silva,Waldo G.,Mathématiques,en,doctorat,240,http://hdl.handle.net/1866/6100,en,
UdeM,Characterization of two sorting nexins : sorting nexin-11 and sorting nexin-30,2014,Cameron,Michel,Pharmacie / Pharmacologie,en,doctorat,199,http://hdl.handle.net/1866/11826,en,
UdeS,Characterization of Zinc Finger Protein 277 and its role in the extra-ribosomal uS5 complex,2018,Dionne,Kiersten,Chimie,en,maîtrise,143,https://savoirs.usherbrooke.ca/handle/11143/14084,en,
UdeM,Characterizing and comparing acoustic representations in convolutional neural networks and the human auditory system,2020,Thompson,Jessica A. F.,Psychologie,en,doctorat,177,http://hdl.handle.net/1866/24665,en,
UdeM,"Characterizing cortical myosin mini-filament regulation, length and its macroscopic implications in cytokinetic dynamics",2013,Patino Descovich,Carlos,Médecine,en,maîtrise,83,http://hdl.handle.net/1866/11328,en,
UdeM,Characterizing the Expression of Cytochrome P450s in Breast Cancer Cells,2011,Armstrong,Catherine,Pharmacie / Pharmacologie,en,maîtrise,139,http://hdl.handle.net/1866/9017,en,
Poly,Charge Pumps for Implantable Microstimulators in Low and High-Voltage Technologies,2013,Kar,Goutam Chandra,Génie électrique,en,maîtrise,115,https://publications.polymtl.ca/1142/,en,
McGill,Check ça-icite,2014,Hyatt,Nicolas,Arts de la scène et de l'écran,en,maîtrise,129,https://escholarship.mcgill.ca/concern/theses/nz806321t,fr,Diff
UQAC,Chemical and biological study on constituents of Populus tremuloides buds = Étude chimique et activités biologiques des constituants des bourgeons du Populus tremuloides ,2009,Eftekhari,Azadeh,Environnement,en,maîtrise,75,https://constellation.uqac.ca/126/,fr,Diff
Laval,"Chemical composition of indicator minerals from orogenic gold deposits and glacial sediments of the Val-d'Or district (Québec, Canada)",2017,Grzela,Donald,Environnement,fr,maîtrise,125,https://corpus.ulaval.ca/jspui/handle/20.500.11794/27588?mode=full,en,Diff
Poly,Chemical Looping Gasification of Biomass,2014,Aghabararnejad,Milad,Génie chimique ou physique,en,doctorat,165,https://publications.polymtl.ca/1507/,en,
UdeS,Chemo-mechanical characterization of microstructure phases in cementitious systems by a novel NI-QEDS technique,2017,Wilson,William,Chimie,fr,doctorat,267,https://savoirs.usherbrooke.ca/handle/11143/11620,en,Diff
UdeM,Chemosensory perception in blind and sighted populations,2019,Manescu,Simona,Psychologie,en,doctorat,227,http://hdl.handle.net/1866/22693,en,
McGill,Cheval mémoire (a piano drama),2012,Adamcyk,David,Arts de la scène et de l'écran,en,doctorat,152,https://escholarship.mcgill.ca/concern/theses/g445cj401,fr,Diff
UdeM,Chicken infectious anemia virus vaccination induces immune disorders and viral persistency in infectious bursal disease virus-infected young chicks,2010,Vaziry,Asaad,Sciences vétérinaires,en,doctorat,240,http://hdl.handle.net/1866/5101,en,
Laval,Child contribution to agricultural household income,2012,Brassard,David-Alexandre,Économie,en,maîtrise,58,https://corpus.ulaval.ca/jspui/handle/20.500.11794/23737?mode=full,en,
Laval,Child-to-child interaction and corrective feedback during a tandem chat exchange project,2016,Giguère,Christine,Linguistique,en,maîtrise,161,https://corpus.ulaval.ca/jspui/handle/20.500.11794/26869?mode=full,en,
UdeM,Childhood poverty and behavior problems in early adolescence : examining the links over time and potential mechanisms,2017,Mazza Sampaio Elesbao,Julia Rachel,Santé publique,en,doctorat,303,http://hdl.handle.net/1866/20812,en,
UdeM,Children’s right to “proper education” in contemporary Iran : a critical legal essay with an ethical and empirical approach towards improving Iranian governance,2019,Bostani,Fateme,Droit,en,doctorat,419,http://hdl.handle.net/1866/23506,en,
UdeM,"Chimères, données manquantes et congruence : validation de différentes méthodes par simulations et application à la phylogénie des mammifères",2009,Campbell,Véronique,Biologie,en,doctorat,201,http://hdl.handle.net/1866/6604,fr,Diff
UQAM,China-Japan-Korea free trade agreement (CJK FTA) and the prospect of regional integration from the perspective of Northeast Asian identity,2014,?,?,Science politique,en,maîtrise,111,http://www.archipel.uqam.ca/6467/,en,
Poly,Chipeless Substrate Integrated Waveguide Tag for a Millimeter Wave Identification,2017,Li,Jiming,Génie électrique,en,maîtrise,112,https://publications.polymtl.ca/2728/,en,
Poly,Chlorination of Toxic Cyanobacterial Cells and their Associated Toxins,2012,Fan,Yan,Génie civil,en,maîtrise,123,https://publications.polymtl.ca/1060/,en,
UdeM,"Cholinergic enhancement of perceptual learning : behavioral, physiological, and neuro-pharmacological study in the rat primary visual cortex",2014,Kang,Jun-Il,Neuroscience,en,doctorat,234,http://hdl.handle.net/1866/11827,en,
UdeS,Cible autoantigénique dans l'infertilité étude de l'isoforme testiculaire de la calpastatine,2000,Leblond,Julie,Virologie et immunologie,en,maîtrise,158,https://savoirs.usherbrooke.ca/handle/11143/3229,fr,Diff
Concordia,Cinema L'Amour,2012,McKenzie,Allegra,Lettres et littérature,en,maîtrise,238,https://spectrum.library.concordia.ca/974672/,fr,Diff
UdeS,"Cinétique de cristallisation, structure et applications des stéréocomplexes de PLA",2014,Saeidlou,Sajjad,Génie chimique ou physique,en,doctorat,150,https://savoirs.usherbrooke.ca/handle/11143/161,fr,Diff
UdeM,Cinétique de la réponse cytokinaire lors d'infections aux Escherichia coli entéropathogènes dans un modèle de culture d'iléon (IVOC) d'origine porcine,2008,Dubois,Maurice Junior,Sciences vétérinaires,en,maîtrise,109,http://hdl.handle.net/1866/7195,fr,Diff
Poly,Circuits Techniques for Wireless Sensing Systems in High-Temperature Environments,2019,Hassan,Ahmad,Génie électrique,en,doctorat,181,https://publications.polymtl.ca/3895/,en,
UdeM,"Civil War resolution : the private military industry, asymmetric warfare, and ripeness",2007,Bode,Daisy-Ivy,Science politique,fr,maîtrise,127,http://hdl.handle.net/1866/18119,en,Diff
Poly,Classification of Alzheimer's Disease and Mild Cognitive Impairment Using Longitudinal FDG-PET Images,2017,Nozadi,Seyed Hossein,Génie informatique,en,maîtrise,114,https://publications.polymtl.ca/2586/,en,
UdeM,Classification of separable superintegrable systems of order four in two dimensional Euclidean space and algebras of integrals of motion in one dimension,2019,Sajedi,Masoumeh,Mathématiques,en,doctorat,123,http://hdl.handle.net/1866/21748,en,
Poly,"Classification, Formalization and Automatic Verification of Untraceability in RFID Protocols",2013,Khadem Mohtaram,Ali,Génie informatique,en,maîtrise,89,https://publications.polymtl.ca/1094/,en,
UdeM,Classifying medication use in clinical research,2011,Rizzo,Dorrie,Psychologie,en,maîtrise,46,http://hdl.handle.net/1866/5140,en,
ÉTS,Clay-containing polyolefin blends and nanocomposites for high voltage applications,2019,Eesaee,Mostafa,Génie,en,doctorat,174,https://espace.etsmtl.ca/id/eprint/2292/,en,
UdeM,Clearing away the legal mist of the family business,2016,Hammoud,Hania,Droit,en,doctorat,349,http://hdl.handle.net/1866/18361,en,
UdeS,Climate change impact on probable maximum precipitation and probable maximum flood in Québec,2016,Rouhani,Hassan,Chimie,en,doctorat,152,https://savoirs.usherbrooke.ca/handle/11143/8824,en,
Laval,Clinical utility of amyloid PET imaging in the differential diagnosis of atypical dementias and its impact on caregivers,2016,Bensaïdane,Mohamed Réda,Médecine,en,maîtrise,39,https://corpus.ulaval.ca/jspui/handle/20.500.11794/27113?mode=full,en,
UdeM,Clonage et caractérisation des protéines liant l'élément de réponse à l'insuline (IREBP) du gène de l'angiotensinogène chez le rat,2007,Wei,Chih-Chang,Sciences biomédicales,en,doctorat,293,http://hdl.handle.net/1866/15428,fr,Diff
UdeM,Clones minimaux et opérations majorité,2008,Kerkhoff,Sebastian,Mathématiques,en,maîtrise,89,http://hdl.handle.net/1866/7893,fr,Diff
Poly,Cloud Based IP Multimedia Subsystem (IMS) Architecture to Integrate Vehicular Ad Hoc Network (VANET) and IMS,2014,Rahimi,Mahsima,Génie informatique,en,maîtrise,84,https://publications.polymtl.ca/1477/,en,
UQAM,Cloud subgrid-scale variability parameterizations in the GEMCLIM model with the McICA methodology,2014,?,?,Géographie / océanographie,fr,doctorat,229,http://www.archipel.uqam.ca/7497/,en,Diff
UdeM,Clustering algorithms and shape factor methods to discriminate among small GTPase phenotypes using DIC image analysis,2012,Papaluca,Arturo,Biochimie,en,maîtrise,148,http://hdl.handle.net/1866/8817,en,
